"SeNetworkLogonRight","Administrators, Authenticated Users"
"SeMachineAccountPrivilege","Administrators"
"SeRemoteInteractiveLogonRight","Administrators, Remote Desktop Users"
"SeBackupPrivilege","Administrators, Backup Operators"
"SeChangeNotifyPrivilege","Administrators, Authenticated Users, Backup Operators, Local Service, Network Service"
"SeSystemtimePrivilege","Administrators, Local Service"
"SeCreatePagefilePrivilege","Administrators"
"SeCreateTokenPrivilege","[]"
"SeCreatePermanentPrivilege","[]"
"SeDebugPrivilege","[]"
"SeDenyNetworkLogonRight","Guests, Guest"
"SeDenyBatchLogonRight","Guests, Guest"
"SeDenyServiceLogonRight","Guests, Guest"
"SeDenyInteractiveLogonRight","Guests, Guest"
"SeDenyRemoteInteractiveLogonRight","Guest"
"SeEnableDelegationPrivilege","[]"
"SeRemoteShutdownPrivilege","Administrators"
"SeIncreaseBasePriorityPrivilege","Administrators"
"SeLoadDriverPrivilege","Administrators"
"SeBatchLogonRight","Administrators, Backup operators, Performance log users, IIS_IUSRS"
"SeServiceLogonRight","Guests"
"SeInteractiveLogonRight","Administrators, Backup Operators"
"SeSecurityPrivilege","Administrators"
"SeSystemEnvironmentPrivilege","Administrators"
"SeManageVolumePrivilege","Administrators"
"SeProfileSingleProcessPrivilege","Administrators"
"SeUndockPrivilege","Administrators"
"SeRestorePrivilege","Administrators, Backup Operators"
"SeShutdownPrivilege","Administrators"
"SeSyncAgentPrivilege","[]"
"SeTakeOwnershipPrivilege","Administrators"
"SeImpersonatePrivilege","Administrators, Service, Local Service, Network Service"
"SeCreateGlobalPrivilege","Administrators, LOCAL SERVICE, NETWORK SERVICE, SERVICE"
"SeTrustedCredManAccessPrivilege","[]"
"SeTimeZonePrivilege","Administrators, LOCAL SERVICE"
"SeCreateSymbolicLinkPrivilege","Administrators"
"SeRelabelPrivilege","[]"
"SeImpersonatePrivilege","Administrators, Local Service, Network Service"
